data

tradedate;tradetime;secid;pr_open;pr_high;pr_low;pr_close;pr_std;vol;val;trades;pr_vwap;pr_change;trades_b;trades_s;val_b;val_s;vol_b;vol_s;disb;pr_vwap_b;pr_vwap_s;SYSTIME
2024-05-17;18:10:00;SBER;323.44;323.48;323.4;323.41;0;13571;43895131;422;323.45;-0.0093;237;185;19145033;24750099;5919;7652;-0.13;323.45;323.45;2024-05-17 18:10:12
2024-05-17;18:15:00;SBER;323.41;323.44;322.82;323.12;0;20896;67523295;602;323.14;-0.0897;238;364;15326355;52196941;4744;16152;-0.55;323.07;323.16;2024-05-17 18:15:12
2024-05-17;18:20:00;SBER;323.09;323.12;323.07;323.09;0;6780;21905486;214;323.09;0;121;93;11056335;10849150;3422;3358;0.01;323.1;323.08;2024-05-17 18:20:12
2024-05-17;18:25:00;SBER;323.1;323.49;323.09;323.42;0;39034;126221087;430;323.36;0.099;326;104;110203313;16017775;34079;4955;0.75;323.38;323.26;2024-05-17 18:25:12
2024-05-17;18:30:00;SBER;323.48;323.48;323.34;323.37;0;14998;48502895;327;323.4;-0.034;194;133;20341910;28160985;6290;8708;-0.16;323.4;323.39;2024-05-17 18:30:12
2024-05-17;18:35:00;SBER;323.37;323.4;323.06;323.06;0;25061;81012819;485;323.26;-0.0959;237;248;36527888;44484931;11299;13762;-0.1;323.28;323.24;2024-05-17 18:35:11
2024-05-17;18:40:00;SBER;323.09;323.27;323;323.26;0;16101;52017380;747;323.07;0.0526;553;194;20261672;31755708;6271;9830;-0.22;323.1;323.05;2024-05-17 18:40:11
2024-05-17;19:10:00;SBER;323.11;323.22;322.83;322.88;0.0001;10422;33669498;450;323.06;-0.0712;269;181;9745509;23923989;3016;7406;-0.42;323.13;323.04;2024-05-17 19:10:10
2024-05-17;19:15:00;SBER;322.84;322.94;322.82;322.87;0;5813;18768870;218;322.88;0.0093;120;98;9002187;9766683;2788;3025;-0.04;322.89;322.87;2024-05-17 19:15:10
2024-05-17;19:20:00;SBER;322.86;322.93;322.83;322.92;0.0001;5992;19347053;221;322.88;0.0186;124;97;8744065;10602988;2708;3284;-0.1;322.9;322.87;2024-05-17 19:20:10
2024-05-17;19:25:00;SBER;322.92;322.98;322.84;322.89;0;4482;14472709;201;322.91;-0.0093;129;72;5570324;8902384;1725;2757;-0.23;322.92;322.9;2024-05-17 19:25:10
2024-05-17;19:30:00;SBER;322.91;322.91;322.79;322.8;0.0001;3326;10737692;198;322.84;-0.0341;90;108;3128704;7608988;969;2357;-0.42;322.88;322.83;2024-05-17 19:30:11
2024-05-17;19:35:00;SBER;322.81;322.93;322.8;322.87;0;2945;9508766;151;322.88;0.0186;92;59;5434150;4074616;1683;1262;0.14;322.88;322.87;2024-05-17 19:35:11
2024-05-17;19:40:00;SBER;322.89;322.9;322.78;322.83;0;8549;27602706;157;322.88;-0.0186;80;77;13332258;14270447;4129;4420;-0.03;322.89;322.86;2024-05-17 19:40:11
2024-05-17;19:45:00;SBER;322.83;322.83;322.7;322.7;0;4661;15042478;199;322.73;-0.0403;58;141;958614;14083864;297;4364;-0.87;322.77;322.73;2024-05-17 19:45:11
2024-05-17;19:50:00;SBER;322.7;322.77;322.7;322.77;0.0001;2282;7364440;106;322.72;0.0217;59;47;1871852;5492588;580;1702;-0.49;322.73;322.71;2024-05-17 19:50:10
2024-05-17;19:55:00;SBER;322.77;322.79;322.7;322.77;0;2647;8543321;127;322.75;0;82;45;4970673;3572648;1540;1107;0.16;322.77;322.73;2024-05-17 19:55:11
2024-05-17;20:00:00;SBER;322.78;322.78;322.29;322.29;0;24970;80543186;420;322.56;-0.1518;102;318;5383776;75159410;1669;23301;-0.87;322.57;322.56;2024-05-17 20:00:10
2024-05-17;20:05:00;SBER;322.3;322.41;322.23;322.35;0.0001;15533;50064461;360;322.31;0.0155;137;223;11050567;39013894;3428;12105;-0.56;322.36;322.3;2024-05-17 20:05:10
2024-05-17;20:10:00;SBER;322.37;322.46;322.29;322.39;0.0001;3424;11038334;158;322.38;0.0062;86;72;3681779;7356555;1142;2282;-0.33;322.4;322.37;2024-05-17 20:10:10
2024-05-17;20:15:00;SBER;322.42;322.5;322.36;322.44;0.0001;4440;14317324;177;322.46;0.0062;112;65;11144838;3172485;3456;984;0.56;322.48;322.41;2024-05-17 20:15:10
2024-05-17;20:20:00;SBER;322.39;322.47;322.37;322.45;0;2255;7270759;122;322.43;0.0186;89;33;6074656;1196102;1884;371;0.67;322.43;322.4;2024-05-17 20:20:10
2024-05-17;20:25:00;SBER;322.43;322.46;322.36;322.45;0.0001;1939;6251561;123;322.41;0.0062;64;59;1425249;4826312;442;1497;-0.54;322.45;322.4;2024-05-17 20:25:10
